iter	Passed	Remaining
0	160	160495
1	185	92666
2	208	69326
3	231	57687
4	252	50182
5	272	45099
6	291	41318
7	311	38590
8	331	36492
9	351	34750
10	370	33321
11	389	32059
12	410	31193
13	428	30147
14	448	29429
15	467	28770
16	485	28057
17	511	27905
18	528	27299
19	547	26836
20	567	26444
21	585	26040
22	604	25694
23	626	25464
24	649	25324
25	671	25167
26	689	24845
27	707	24544
28	724	24243
29	741	23988
30	763	23877
31	781	23641
32	798	23392
33	817	23231
34	836	23055
35	865	23168
36	896	23325
37	920	23301
38	942	23223
39	967	23208
40	990	23175
41	1013	23116
42	1035	23048
43	1062	23090
44	1091	23167
45	1119	23207
46	1143	23182
47	1167	23159
48	1195	23199
49	1220	23188
50	1245	23180
51	1271	23188
52	1300	23231
53	1325	23221
54	1348	23165
55	1372	23130
56	1397	23120
57	1422	23096
58	1444	23038
59	1466	22981
60	1490	22946
61	1513	22904
62	1540	22916
63	1564	22883
64	1586	22819
65	1610	22790
66	1635	22776
67	1661	22778
68	1684	22727
69	1706	22672
70	1732	22670
71	1758	22663
72	1784	22664
73	1809	22647
74	1833	22615
75	1855	22564
76	1877	22509
77	1903	22495
78	1930	22502
79	1951	22438
80	1978	22444
81	2003	22424
82	2027	22398
83	2050	22358
84	2075	22340
85	2097	22296
86	2119	22247
87	2143	22211
88	2166	22175
89	2193	22179
90	2220	22177
91	2248	22193
92	2275	22192
93	2298	22153
94	2321	22116
95	2345	22084
96	2371	22080
97	2396	22060
98	2427	22095
99	2459	22139
100	2481	22091
101	2505	22057
102	2529	22029
103	2554	22005
104	2578	21979
105	2602	21948
106	2633	21980
107	2656	21944
108	2680	21909
109	2704	21883
110	2727	21841
111	2750	21808
112	2779	21816
113	2802	21783
114	2827	21762
115	2852	21737
116	2878	21721
117	2900	21682
118	2928	21677
119	2953	21655
120	2977	21626
121	3000	21593
122	3024	21562
123	3049	21542
124	3075	21526
125	3099	21501
126	3125	21484
127	3149	21455
128	3172	21420
129	3194	21377
130	3221	21369
131	3246	21350
132	3274	21346
133	3302	21341
134	3327	21323
135	3352	21296
136	3379	21289
137	3406	21280
138	3430	21249
139	3454	21223
140	3477	21187
141	3504	21173
142	3531	21161
143	3555	21135
144	3579	21105
145	3602	21071
146	3628	21054
147	3650	21016
148	3674	20987
149	3698	20957
150	3726	20953
151	3753	20942
152	3778	20919
153	3804	20902
154	3831	20887
155	3857	20872
156	3880	20837
157	3905	20814
158	3931	20795
159	3959	20789
160	3986	20773
161	4014	20764
162	4039	20743
163	4064	20717
164	4087	20684
165	4110	20653
166	4138	20641
167	4160	20604
168	4187	20590
169	4214	20576
170	4243	20570
171	4268	20547
172	4292	20518
173	4318	20498
174	4341	20465
175	4373	20476
176	4403	20474
177	4426	20443
178	4451	20416
179	4473	20380
180	4498	20353
181	4520	20318
182	4545	20292
183	4569	20264
184	4594	20240
185	4622	20228
186	4645	20197
187	4670	20172
188	4695	20150
189	4724	20142
190	4760	20163
191	4788	20149
192	4807	20102
193	4828	20060
194	4850	20023
195	4870	19978
196	4890	19934
197	4914	19906
198	4936	19871
199	4954	19819
200	4973	19772
201	4994	19730
202	5012	19678
